freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
7.0000185E+006	2.7371014E+001	4.8610825E+001
5.5518110E+006	2.7940319E+001	3.8408855E+001
4.4032345E+006	2.8298733E+001	3.1549881E+001
3.4922710E+006	2.8721169E+001	2.5236115E+001
2.7697818E+006	2.9113060E+001	2.0031345E+001
2.1967600E+006	2.9169184E+001	1.5685605E+001
1.7422989E+006	2.9533918E+001	1.1331884E+001
1.3818290E+006	2.9469465E+001	8.8776722E+000
1.0959583E+006	2.9426371E+001	6.9136200E+000
8.6921950E+005	2.9425398E+001	5.3461251E+000
6.8939281E+005	2.9436411E+001	4.0825658E+000
5.4676369E+005	2.9484032E+001	3.0397551E+000
4.3364941E+005	2.9520458E+001	2.1887414E+000
3.4393556E+005	2.9562851E+001	1.4782356E+000
2.7277872E+005	2.9621696E+001	8.6083221E-001
2.1634688E+005	2.9671833E+001	3.0471233E-001
1.7158736E+005	2.9738144E+001	-1.9165097E-001
1.3608781E+005	2.9822289E+001	-7.2462714E-001
1.0793683E+005	2.9898001E+001	-1.2476146E+000
8.5603477E+004	2.9989136E+001	-1.7872128E+000
6.7890805E+004	3.0138985E+001	-2.3950243E+000
5.3852430E+004	3.0282475E+001	-3.1102300E+000
4.2708949E+004	3.0446186E+001	-3.9395218E+000
3.3875816E+004	3.0668987E+001	-4.9332280E+000
2.6861266E+004	3.0940367E+001	-6.0897455E+000
2.1303445E+004	3.1281956E+001	-7.4945579E+000
1.6896158E+004	3.1739359E+001	-9.1894131E+000
1.3398155E+004	3.2296734E+001	-1.1250967E+001
1.0633163E+004	3.3007637E+001	-1.3727717E+001
8.4279775E+003	3.3923409E+001	-1.6711748E+001
6.6861958E+003	3.5145691E+001	-2.0296320E+001
5.3029956E+003	3.6700554E+001	-2.4506035E+001
4.2063447E+003	3.8752563E+001	-2.9550179E+001
3.3360645E+003	4.1422768E+001	-3.5517216E+001
2.6458501E+003	4.4761257E+001	-4.2495060E+001
2.0979866E+003	4.9167591E+001	-5.0505325E+001
1.6644672E+003	5.4541782E+001	-5.9770779E+001
1.3195798E+003	6.1552097E+001	-7.0287056E+001
1.0466725E+003	7.0095482E+001	-8.1914291E+001
8.3026288E+002	8.0651939E+001	-9.4931061E+001
6.5852478E+002	9.3734276E+001	-1.0897563E+002
5.2217242E+002	1.0898901E+002	-1.2406280E+002
4.1433722E+002	1.2689787E+002	-1.3954333E+002
3.2863318E+002	1.4760231E+002	-1.5553848E+002
2.6058405E+002	1.7091821E+002	-1.7255989E+002
2.0665303E+002	1.9835545E+002	-1.8937326E+002
1.6389862E+002	2.2771420E+002	-2.0634084E+002
1.2995824E+002	2.6069547E+002	-2.2255228E+002
1.0311902E+002	2.9588464E+002	-2.3779518E+002
8.1752983E+001	3.3414313E+002	-2.5308441E+002
6.4854698E+001	3.7478043E+002	-2.6706052E+002
5.1431881E+001	4.1656680E+002	-2.7984433E+002
4.0796326E+001	4.6097791E+002	-2.9194186E+002
3.2349899E+001	5.0557947E+002	-3.0292719E+002
2.5665239E+001	5.5298859E+002	-3.1342691E+002
2.0358339E+001	5.9945624E+002	-3.2296185E+002
1.6141535E+001	6.5017285E+002	-3.3311371E+002
1.2807399E+001	6.9752887E+002	-3.4438074E+002
1.0152682E+001	7.4744678E+002	-3.5578348E+002
8.0541525E+000	7.9776709E+002	-3.6745645E+002
6.3879790E+000	8.4818414E+002	-3.8110049E+002
5.0664692E+000	9.0165723E+002	-3.9776053E+002
4.0187759E+000	9.5597107E+002	-4.1640051E+002
3.1855257E+000	1.0139414E+003	-4.3623608E+002
2.5279076E+000	1.0721655E+003	-4.6266937E+002
2.0047500E+000	1.1371157E+003	-4.9027887E+002
1.5888736E+000	1.2045316E+003	-5.2381482E+002
1.2611002E+000	1.2762941E+003	-5.5899182E+002
1.0000616E+000	1.3545873E+003	-5.9699158E+002
